role_id,role,date
1,能天使,2019-04-30
2,推进之王,2019-04-30
3,伊芙利特,2019-04-30
4,艾雅法拉,2019-04-30
5,安洁莉娜,2019-04-30
6,闪灵,2019-04-30
7,夜莺,2019-04-30
8,星熊,2019-04-30
9,塞雷娅,2019-04-30
10,银灰,2019-04-30
11,斯卡蒂,2019-05-30
12,陈,2019-07-09
13,黑,2019-08-27
14,赫拉格,2019-09-10
15,麦哲伦,2019-10-15
16,莫斯提马,2019-11-19
17,煌,2019-12-24
18,阿,2020-01-16
19,年,2020-01-16
20,刻俄柏,2020-02-25
21,风笛,2020-03-17
22,傀影,2020-04-21
23,温蒂,2020-05-01
24,W,2020-05-01
25,早露,2020-06-18
26,铃兰,2020-07-09
27,棘刺,2020-08-11
28,森蚺,2020-08-25
29,史尔特尔,2020-09-24
30,瑕光,2020-10-15
31,泥岩,2020-11-01
32,迷迭香,2020-11-01
33,山,2020-12-17
34,空弦,2021-01-05
35,嵯峨,2021-02-05
36,夕,2021-02-05
37,灰烬,2021-03-09
38,异客,2021-04-15
39,歌蕾蒂娅,2021-05-01
40,凯尔希,2021-05-01
41,浊心斯卡蒂,2021-05-01
42,卡涅利安,2021-06-01
43,帕拉斯,2021-07-02
44,水月,2021-08-03
45,假日威龙陈,2021-08-03
46,琴柳,2021-09-17
47,远牙,2021-10-15
48,焰尾,2021-11-01
49,耀骑士临光,2021-11-01
50,灵知,2021-12-21
51,老鲤,2022-01-25
52,令,2022-01-25
53,澄闪,2022-02-15
54,菲亚梅塔,2022-03-15
55,号角,2022-04-14
56,流明,2022-05-01
57,艾丽妮,2022-05-01
58,归溟幽灵鲨,2022-05-01
59,黑键,2022-06-09
60,多萝西,2022-07-05
61,鸿雪,2022-08-11
62,百炼嘉维尔,2022-08-11
63,玛恩纳,2022-09-08
64,白铁,2022-10-11
65,伺夜,2022-11-01
66,斥罪,2022-11-01
67,缄默德克萨斯,2022-11-01
68,焰影苇草,2022-12-15
69,林,2023-01-17
70,重岳,2023-01-17
71,仇白,2023-02-14
72,麒麟R夜刀,2023-03-07
73,伊内丝,2023-04-06
74,淬羽赫默,2023-05-01
75,霍尔海雅,2023-05-01
76,缪尔赛思,2023-05-01
77,圣约送葬人,2023-06-08
78,提丰,2023-07-06
79,琳琅诗怀雅,2023-08-01
80,纯烬艾雅法拉,2023-08-01
81,涤火杰西卡,2023-09-05
82,赫德雷,2023-10-08
83,止颂,2023-11-01
84,薇薇安娜,2023-11-01
85,塑心,2023-11-01
86,锏,2023-12-05
87,莱伊,2024-01-09
88,左乐,2024-02-01
89,黍,2024-02-01
90,艾拉,2024-03-07
91,阿斯卡纶,2024-04-11
92,魔王,2024-05-01
93,逻各斯,2024-05-01
94,维什戴尔,2024-05-01
95,乌尔比安,2024-06-05
96,妮芙,2024-07-09
97,娜仁图亚,2024-08-01
98,佩佩,2024-08-01
99,玛露西尔,2024-09-02
100,维娜·维多利亚,2024-10-09
101,弑君者,2024-11-01
102,忍冬,2024-11-01
103,荒芜拉普兰德,2024-11-01
104,引星棘刺,2024-12-05
105,烛煌,2025-01-22
106,余,2025-01-22
